,symbol,mean_abnormal_return,std_dev,t_statistic,p_value,significant,sample_size,effect_size,effect_interpretation
21,NEARUSDT,1.25699833380559,2.1413238233448135,8.23920799038442,2.3851991414499183e-14,True,198,0.5870192635517032,中等效應
94,SOLVUSDT,1.2564058570163583,2.6698456911893063,6.6050620848555885,3.6151620683081075e-10,True,198,0.47059118853295273,小效應
97,APEUSDT,1.2525780336687014,2.196656431074209,8.003422946654112,1.0224188741280904e-13,True,198,0.5702202747546486,中等效應
22,UNIUSDT,1.245158851145657,1.9713941714321224,8.865115637764738,4.573237605589324e-16,True,198,0.6316133369924237,中等效應
18,AVAXUSDT,1.2400577716721968,1.9112400150861664,9.106674252172146,9.629502296847831e-17,True,198,0.6488236756681185,中等效應
76,ALGOUSDT,1.2400062069695181,2.2359705997249426,7.7837859282032875,3.894561554232433e-13,True,198,0.5545717851218872,中等效應
26,EOSUSDT,1.224898236422634,1.9231286988360778,8.939737641513435,2.8312243598938477e-16,True,198,0.6369299346237051,中等效應
48,TIAUSDT,1.2243344833252778,2.4918302807956465,6.646716683141329,3.334834114315991e-10,True,184,0.4913394354186696,小效應
71,JUPUSDT,1.2179924722328817,1.8109421531564707,9.440024889450704,1.0928590877192614e-17,True,198,0.6725739251858055,中等效應
28,XLMUSDT,1.211014871402061,2.165372241737109,7.849645145032698,2.612931543252504e-13,True,198,0.5592640600354969,中等效應
35,RUNEUSDT,1.2105503099568824,2.3004828419133885,7.38579004562559,4.187557345200612e-12,True,198,0.5262157525808918,中等效應
58,PENGUUSDT,1.2099827049948129,2.411547433991539,7.0423315416785135,3.081232590336417e-11,True,198,0.5017453473814019,中等效應
96,USUALUSDT,1.2002729997283517,2.2290897555672786,7.55762943544514,1.5136737409382266e-12,True,198,0.5384588021772571,中等效應
56,API3USDT,1.1920064821308987,2.1175335056391886,7.900988675196142,1.9120567089030393e-13,True,198,0.5629221350956075,中等效應
90,ICPUSDT,1.1883919203423916,1.9684858804489005,8.473454455922813,5.51117836316265e-15,True,198,0.6037086331914082,中等效應
82,DYMUSDT,1.1808418672241667,2.158252727181097,7.679316328912412,7.309739758187348e-13,True,198,0.5471286343589934,中等效應
66,VANAUSDT,1.1789856599475559,2.3377819376072293,7.078441334888396,2.5042007440315255e-11,True,198,0.5043180636232794,中等效應
73,GMTUSDT,1.1769240388440152,2.2099045126272503,7.474945624857513,2.473667919005241e-12,True,198,0.5325678245911296,中等效應
86,POLUSDT,1.1654967197628183,2.1076119807801805,7.761640259570317,4.452241438196646e-13,True,198,0.5529939715617783,中等效應
59,CKBUSDT,1.155078064423171,2.0938455881402622,7.74283132300652,4.987427123076654e-13,True,198,0.551653890318198,中等效應
87,ATOMUSDT,1.1426641049760575,1.883846527588637,8.51346155147417,4.283334345125679e-15,True,198,0.6065590207280269,中等效應
51,APTUSDT,1.132874754615343,2.082995800983635,7.633551106583631,9.61831780359329e-13,True,198,0.5438679972760269,中等效應
43,BANANAUSDT,1.1220283934020931,2.0699671132885666,7.608052739735206,1.1203463931696346e-12,True,198,0.5420513138585672,中等效應
47,SEIUSDT,1.1115495430612967,1.9933393835606301,7.543503946648078,2.0705559490194433e-12,True,184,0.5576318574892029,中等效應
68,ETCUSDT,1.1082104383390046,1.7456212996269513,8.910566529707303,3.415595618391424e-16,True,198,0.6348515789626508,中等效應
84,CFXUSDT,1.0989473069313047,2.2573431762646354,6.833015308994105,1.0129431267423849e-10,True,198,0.4868321832880548,小效應
13,CAKEUSDT,1.0902206811258144,2.2646835660035713,6.756783455672657,1.5544909778049966e-10,True,198,0.4814008886237907,小效應
49,SHIBUSDT,1.083317363628482,1.925706609074392,7.610113396014894,1.4010691149184529e-12,True,184,0.562555769671055,中等效應
92,JTOUSDT,1.0603983421160128,2.1426322968109086,6.946315519772638,5.332336736195479e-11,True,198,0.49490448906903367,小效應
19,AUCTIONUSDT,1.0539331039349689,2.190128970295402,6.754239697755509,1.576790218809736e-10,True,198,0.4812196533763104,小效應
61,BCHUSDT,1.0401863916183804,1.899708678828848,7.685237160444553,7.054307706825202e-13,True,198,0.5475504761391338,中等效應
77,RAREUSDT,1.0353797236690578,2.4539365534904527,5.922014125543232,1.3944371721985935e-08,True,198,0.42192603643168564,小效應
75,LAYERUSDT,1.0040788482751253,2.26824223094614,4.747088261821809,5.992002625953914e-06,True,116,0.4426682629289991,小效應
30,TONUSDT,0.994184062765616,1.9747648635074864,7.066177111219883,2.6871021382764023e-11,True,198,0.5034442738665058,中等效應
15,SUSDT,0.9800793868566169,2.395180222787765,5.743229502072872,3.477317723140957e-08,True,198,0.4091881594262232,小效應
80,MKRUSDT,0.9628816072080213,1.9737814569632977,6.847104237683328,9.355697987439174e-11,True,198,0.487835977894652,小效應
29,VIDTUSDT,0.9562815012367794,2.2260248234752478,6.029605031766114,7.976041395574322e-09,True,198,0.4295915711055918,小效應
36,OMUSDT,0.8176169531018777,1.286615583821416,8.919370278301706,3.227629107445055e-16,True,198,0.6354788200788372,中等效應
70,BERAUSDT,0.7986282437475895,1.7687004116088552,5.088528938382599,1.2661631438224479e-06,True,128,0.45153392768260664,小效應
52,KAITOUSDT,0.7974985704418137,2.8602760661222555,2.8297011643714813,0.005601885283205282,True,104,0.27881874057108114,小效應
5,BNBUSDT,0.747529980640632,1.2593856313403393,8.331112409764305,1.3453803340859979e-14,True,198,0.5935671823133718,中等效應
0,BTCUSDT,0.692829516983687,1.003091819499766,9.694352480202406,2.039119029012019e-18,True,198,0.6906940157573966,中等效應
91,SUNUSDT,0.6842862817898978,0.9859515861115707,9.741264970270171,1.4935988821936506e-18,True,198,0.694036392282312,中等效應
39,REDUSDT,0.4565879266317846,3.122628755025103,1.2233566548573478,0.22529732392329646,False,71,0.14621908733051234,微小效應
12,TRXUSDT,0.43048535927035114,0.7376594503964016,8.19097476921048,3.217576728967804e-14,True,198,0.5835827888316458,中等效應
98,PAXGUSDT,0.06258794236752249,0.2401586035390434,3.6578478554550053,0.00032640731947926555,True,198,0.26061086900577085,小效應
16,EURUSDT,0.03293113280911496,0.10597746599751966,4.3614033467877995,2.0818037121062764e-05,True,198,0.31073712226602673,小效應
3,FDUSDUSDT,0.007289828060314816,0.05092547490379509,2.009163641653712,0.04588463802604024,True,198,0.1431469824107926,微小效應
1,USDCUSDT,0.0051481439269230106,0.015624184023231352,4.624730688702168,6.7818662353493975e-06,True,198,0.3294984185585831,小效應
23,BMTUSDT,-0.8337439316348005,0.2785597243671001,-2.993052687459048,0.20527596800207837,False,2,2.993052687459048,大效應
33,FORMUSDT,-2.0035894234457894,0.07340641210833998,-27.294474227792342,0.023313698982461543,True,2,27.294474227792342,大效應
