,0
ETHUSDT,1.0
BRETTUSDT,0.9771210010001614
ARBUSDT,0.9732433745626854
ASTRUSDT,0.9714587200641177
OPUSDT,0.9705453482378844
PENDLEUSDT,0.97026012991676
DEFIUSDT,0.9693734725410533
ZRXUSDT,0.9677510257022592
ENSUSDT,0.9664122559502994
ONGUSDT,0.9638451022343801
PYTHUSDT,0.963781021467419
AXSUSDT,0.9635128005230502
KDAUSDT,0.9627075090097473
ETHFIUSDT,0.9622787857787619
SYNUSDT,0.9621061250719626
BICOUSDT,0.9616923590165583
MAGICUSDT,0.9610130955103025
SCRUSDT,0.9607046306416289
STXUSDT,0.9606186079814619
ANKRUSDT,0.9605732725119791
NTRNUSDT,0.9604954691136296
LINKUSDT,0.9601757957827409
RIFUSDT,0.9596171300072599
VTHOUSDT,0.9594053492339416
ALPHAUSDT,0.9592334777870511
AVAXUSDT,0.9590942515503527
SYSUSDT,0.9584631082611704
QTUMUSDT,0.957731376031045
CFXUSDT,0.9574812797941801
ZKUSDT,0.9574086218922802
ENJUSDT,0.956814692694
KNCUSDT,0.9565716912441191
OXTUSDT,0.9558315876644001
ONTUSDT,0.9557055088571652
BALUSDT,0.9554006057826078
JUPUSDT,0.9552512656028446
GUSDT,0.9540480538341005
CTSIUSDT,0.9540138120007331
COTIUSDT,0.9531098487761201
ZENUSDT,0.9530304577997848
WOOUSDT,0.9527475645600894
JTOUSDT,0.9525680637120651
FLOWUSDT,0.9512475547055628
LTCUSDT,0.9511058503181923
HIFIUSDT,0.9508071243943519
THETAUSDT,0.9506740711745196
SOLUSDT,0.9506092152122458
LSKUSDT,0.950513858869413
OGNUSDT,0.950409754312208
TRUUSDT,0.9489072311802536
GASUSDT,0.948762601211203
ALTUSDT,0.9486178082308624
NEARUSDT,0.9484465630679151
RPLUSDT,0.9482195385552502
MINAUSDT,0.9479074456008648
POWRUSDT,0.9467489016473649
SAFEUSDT,0.9466188136398007
INJUSDT,0.9464554441005142
RVNUSDT,0.9461079806284877
CELOUSDT,0.9460186871006432
DUSDT,0.9456634945097109
PHBUSDT,0.9450294777164074
JOEUSDT,0.9447573319817001
HIGHUSDT,0.9446421605188884
BLURUSDT,0.9441999870571672
LEVERUSDT,0.9440624760503012
ZETAUSDT,0.9439686423365129
POLYXUSDT,0.9438308064484129
KSMUSDT,0.9437416307414241
CKBUSDT,0.942995716231058
DENTUSDT,0.9428482542155173
ALICEUSDT,0.9427486816238336
BATUSDT,0.9424373616303617
ROSEUSDT,0.941700967402744
WUSDT,0.941426376316264
LQTYUSDT,0.9413149719956548
SANDUSDT,0.9409256532081129
PORTALUSDT,0.9406684899546028
ARPAUSDT,0.9405448190037653
MANAUSDT,0.9404964442008374
POLUSDT,0.9403874537248205
EDUUSDT,0.940357662437347
SLERFUSDT,0.9398361822083039
BNTUSDT,0.9398354007265893
DASHUSDT,0.9398271277787777
RUNEUSDT,0.9396899474438839
COOKIEUSDT,0.9393797359367243
MOVRUSDT,0.9393064420796693
XVGUSDT,0.9387954944972244
GALAUSDT,0.9387948040588868
RENDERUSDT,0.9384631783081206
FIOUSDT,0.9381668475784829
ZILUSDT,0.9381034337097374
ICPUSDT,0.9378536618697974
TAOUSDT,0.9376035456051462
GMTUSDT,0.9373693212048151
1000BONKUSDT,0.9368665101358562
SUSHIUSDT,0.9364625395513313
UNIUSDT,0.9357913212873288
NEOUSDT,0.9356329286870075
SFPUSDT,0.9344971493231726
YGGUSDT,0.9341572836153927
IMXUSDT,0.9336290848610554
FILUSDT,0.9333502448541559
AEVOUSDT,0.9333252827393824
UMAUSDT,0.9318504381280438
