,Downtrend Performance (%),Rebound Performance (%),Combined Score
THETAUSDT,-3.533296642817829,0.0,-3.533296642817829
THEUSDT,3.760529482551145,0.0,3.760529482551145
TIAUSDT,-2.6182432432432456,0.0,-2.6182432432432456
TLMUSDT,0.6410256410256387,0.0,0.6410256410256387
TNSRUSDT,-29.369158878504663,0.0,-29.369158878504663
TOKENUSDT,-1.3389711064129561,0.0,-1.3389711064129561
TONUSDT,1.0283260509266423,0.0,1.0283260509266423
TRBUSDT,3.2738208534774937,0.0,3.2738208534774937
TROYUSDT,0.2645502645502562,0.0,0.2645502645502562
TRUMPUSDT,0.214252445272467,0.0,0.214252445272467
TRUUSDT,2.807646356033433,0.0,2.807646356033433
TRXUSDT,-0.9955939671242087,0.0,-0.9955939671242087
TSTUSDT,2.2413793103448265,0.0,2.2413793103448265
TURBOUSDT,4.352923933753483,0.0,4.352923933753483
TUSDT,2.767295597484276,0.0,2.767295597484276
TWTUSDT,-3.176458089875711,0.0,-3.176458089875711
UMAUSDT,0.08873114463174847,0.0,0.08873114463174847
UNIUSDT,-2.2242961580339227,0.0,-2.2242961580339227
USDCUSDT,0.03541459081140008,0.0,0.03541459081140008
USTCUSDT,5.9160129210890755,0.0,5.9160129210890755
USUALUSDT,0.4112808460634554,0.0,0.4112808460634554
UXLINKUSDT,-0.6471769694264662,0.0,-0.6471769694264662
VANAUSDT,-3.0566037735849094,0.0,-3.0566037735849094
VANRYUSDT,-0.8689081979599611,0.0,-0.8689081979599611
VELODROMEUSDT,7.3702573048408215,0.0,7.3702573048408215
VETUSDT,-4.256090195288897,0.0,-4.256090195288897
VIDTUSDT,12.127894156560082,0.0,12.127894156560082
VINEUSDT,5.869074492099324,0.0,5.869074492099324
VIRTUALUSDT,-6.133333333333324,0.0,-6.133333333333324
VOXELUSDT,3.4482758620689724,0.0,3.4482758620689724
VTHOUSDT,2.891670263271462,0.0,2.891670263271462
VVVUSDT,0.21707670043416005,0.0,0.21707670043416005
WAXPUSDT,-5.014504765851635,0.0,-5.014504765851635
WIFUSDT,3.670770633834941,0.0,3.670770633834941
WLDUSDT,-1.0960269024785085,0.0,-1.0960269024785085
WOOUSDT,0.3456907855525104,0.0,0.3456907855525104
WUSDT,1.3208399187175424,0.0,1.3208399187175424
XAIUSDT,1.1923438970818934,0.0,1.1923438970818934
XLMUSDT,-3.1987554071488122,0.0,-3.1987554071488122
XMRUSDT,-5.866207666542622,0.0,-5.866207666542622
XRPUSDT,-0.5846841279650072,0.0,-0.5846841279650072
XTZUSDT,-0.4411764705882337,0.0,-0.4411764705882337
XVGUSDT,-0.36130155620849314,0.0,-0.36130155620849314
XVSUSDT,0.09243852837863553,0.0,0.09243852837863553
YFIUSDT,-0.200481154771448,0.0,-0.200481154771448
YGGUSDT,2.728285077950998,0.0,2.728285077950998
ZECUSDT,1.4960897653859329,0.0,1.4960897653859329
ZENUSDT,-9.205933682373468,0.0,-9.205933682373468
ZEREBROUSDT,-9.615384615384615,0.0,-9.615384615384615
ZETAUSDT,0.6688963210702337,0.0,0.6688963210702337
ZILUSDT,3.726169844020788,0.0,3.726169844020788
ZKUSDT,-0.04345307068366333,0.0,-0.04345307068366333
ZROUSDT,-2.168812589413449,0.0,-2.168812589413449
ZRXUSDT,-0.8196721311475419,0.0,-0.8196721311475419
