symbol,latest_price,price_range,volatility_1d,volatility_3d,volatility_7d,avg_volume,volume_change,volume_volatility,momentum_1d,momentum_3d,momentum_7d,eth_correlation,ma_crossover,rsi
BTCUSDT,85266.87,0.4305406887188993,0.03279772329623578,0.0017572618240998786,0.0017866790220309376,108.7582078188048,0.23760360828194615,1.1015666418415815,0.020420162385240248,0.02395889987687294,0.024386507876724473,0.9695762790118037,-1,23.682211648704495
USDCUSDT,1.0003,0.004709890770618225,0.0013067816158868304,7.622067343819498e-05,7.625324301790032e-05,4504593.277077647,0.816001096086747,3.2539350462702283,0.00029999999999996696,0.00019998000199983323,0.00029999999999996696,0.036916127013308174,1,66.66666666666666
ETHUSDT,1985.01,0.9687222108215336,0.04759255115844252,0.0025975006210989943,0.0027220048353395632,2317.313151634822,0.24253310799035993,1.2908035968068778,0.002216477668608885,0.038483873499175925,0.04346797594516172,1.0,-1,21.436742164264018
FDUSDUSDT,1.0004,0.01119628807746621,0.0016653842841145244,8.873160777773825e-05,9.283370630973349e-05,1912427.5157093909,0.8977232683685336,3.975426379330122,0.0014014014014014364,0.0015016518169985726,0.0019028542814221172,0.57198638876214,1,75.00000000000115
XRPUSDT,2.4827,0.9024899779797867,0.06828023067786648,0.0036237997149286623,0.0038306164085374714,1185249.6879609732,0.23101761507754984,1.3142643145765973,0.07313594121460998,0.06462264150943398,0.09201671431713221,0.8714282045073128,-1,33.171912832929976
SOLUSDT,130.54,1.485982142857143,0.062358932654063705,0.0033394710413027495,0.003429124240048198,18133.10664777281,0.22180520569402876,1.1574956444965272,0.026015876758626044,0.01256593236115422,0.026742173981437745,0.9553245249535701,-1,8.50515463917553
BNBUSDT,634.03,0.464,0.035907113114281776,0.002002916277098697,0.0020995140250091066,1439.711935594402,0.3141608439427598,1.9218857324604313,0.02575593340991089,-0.00575505723694536,0.08977311790993481,0.7686865002754631,-1,41.10769230769228
PEPEUSDT,7.44e-06,2.434285714285714,0.07595091494213813,0.0042921666728784206,0.004382703411273565,85002768845.11963,0.31307143015142447,1.3352855789804416,0.013623978201634968,0.05832147937411092,0.008130081300812941,0.9445334102244596,-1,18.518518518518405
BNXUSDT,1.7819,14.892053973013496,0.16049303649252664,0.007748384933366531,0.008224582603119406,263615.21999033116,0.7662589709505647,4.900321410478184,0.14056199193496766,0.773211264802468,0.7626867148085865,-0.7233335821024328,-1,27.716914986853638
DOGEUSDT,0.17151,1.827871148459384,0.060859719868216804,0.0032740131422614423,0.0033960716020827735,5042719.026250073,0.3234824967563172,1.5334263622944981,0.015032254246315935,-0.009414346771398852,0.00029161320424586634,0.9777710078843747,-1,14.03508771929826
ADAUSDT,0.7229,1.3215415019762846,0.07679858874282976,0.004014752621705253,0.004299798442041556,1008990.4651083107,0.3046178989278411,1.3934819488678114,0.005284383256848768,0.0033310201249132643,-0.005776371888323473,0.6620154975275927,-1,24.884792626728256
SUIUSDT,2.4321,1.5616529094058902,0.0733271933696904,0.004127361895484293,0.004289093142857709,282952.8022300947,0.28445468284033965,1.3381619944323737,0.03984779169695152,0.06605593056894898,0.05281156659884867,0.9699246068890839,-1,23.700623700623836
TRUMPUSDT,11.23,6.885744234800839,0.12239799340770037,0.005488676023103491,0.005523569765188772,93633.06450752077,0.3489632041839141,2.438659358834346,0.011711711711711814,-0.012313104661389462,0.040778498609824076,0.8271854951831977,-1,26.31578947368419
TRXUSDT,0.2294,0.2998508204873198,0.027198376041641607,0.0014360275428390557,0.001451863556039731,2422654.163999071,0.7908474829389299,2.828298092907267,-0.0017406440382942145,0.0694638694638694,0.020008892841262726,0.6694960797159688,-1,50.0
CAKEUSDT,2.431,2.060931899641577,0.08722637827591102,0.00463019243358463,0.004780154093594413,82257.84201347348,0.6697678894486417,6.148232552062122,0.04334763948497855,-0.07671857197113552,0.5241379310344829,0.23841509055917845,-1,20.0
AUCTIONUSDT,46.31,5.797432239657632,0.08981547768787898,0.004957017801805044,0.005015055077472339,2753.695659098807,0.43619749416566217,2.246579919423232,0.23164893617021276,0.4183767228177644,0.8103987490226743,-0.6118237791764339,1,70.60301507537694
SUSDT,0.5216,2.138871274571972,0.07884466039931863,0.004423935661121682,0.004540029742260672,431118.123026889,0.4316091364965428,1.7351794254712407,0.01636788776305531,0.01301223538551155,0.09602857743223359,0.07499334739746644,-1,23.938223938223842
LINKUSDT,14.46,1.2962025316455699,0.06691317527473024,0.0037002566458718463,0.0037854872258349945,21705.66711597654,0.4323008401102734,1.9755113509559121,0.018309859154929775,0.048585931834662865,0.0742942050520059,0.965640093525208,-1,24.39024390243904
LTCUSDT,91.49,0.7512493753123435,0.06378762082448151,0.0036052817963085765,0.003733380008259457,4606.259100238109,0.368240563120731,1.668966851954601,0.008710033076074986,-0.020764208498341152,0.011945581241013192,0.6320148812777694,-1,26.141078838174124
EURUSDT,1.0846,0.12801648028251897,0.004827573558533366,0.00026491553570282347,0.0002704853874753219,123161.79536558452,0.2932930477801352,1.3741161860202469,-0.004680187207488196,-0.00513667217024405,-0.001748734468476787,-0.7278555908000847,1,53.846153846152966
