cluster,latest_price,price_range,volatility_1d,volatility_3d,volatility_7d,avg_volume,volume_change,volume_volatility,momentum_1d,momentum_3d,momentum_7d,eth_correlation,ma_crossover,rsi
0,85266.87000000001,0.4305406887188994,0.03279772329623578,0.0017572618240998786,0.0017866790220309376,108.75820779800415,0.23760360828194615,1.1015666418415815,0.020420162385240248,0.02395889987687294,0.024386507876724473,0.9695762790118037,-1.0,23.682211648704495
1,221.19398595692292,1.8538111478275412,0.07078808251612857,0.003778486503596057,0.00390858053402525,6539303382.16836,0.3450788395954403,1.9424119009379832,0.023027674434173646,0.013847211962977016,0.0811262819029854,0.7606102046311289,-1.0,23.54968158936552
2,0.8286749999997483,0.11094336990448062,0.008749528875044078,0.0004664738399394533,0.0004728589732106718,2240709.1880378723,0.6994662237935865,2.857943926131966,-0.0011798574610952517,0.016507207278155946,0.005115753163552006,0.13763575117283305,0.5000000000000001,61.378205128205195
3,24.04595000000063,10.344743106335564,0.1251542570902028,0.006352701367585787,0.006619818840295872,133184.45782470703,0.6012282325581135,3.573450664950708,0.18610546405259018,0.5957939938101161,0.7865427319156303,-0.6675786806394336,0.0,49.15996503111529
